year,cumulative_population,life_expectancy
-3100,1,22
-3000,250000000,22
-2500,1200000000,23
-2000,3500000000,24
-1500,6000000000,24
-1000,9000000000,25
-500,13000000000,26
1,18019222125,26
500,25000000000,27
1000,33000000000,27
1200,44610565125,24
1400,50000000000,26
1650,57392567578,27
1750,60564499091,28
1800,62000000000,29
1850,64610739100,32
1900,67510976956,32
1925,69200000000,40
1950,70901175171,48
1975,74000000000,61
2000,76966170055,67
2010,78330173460,71
2022,80020448575,72
2025,81500000000,73
